"sex","age","socprof","income","marital","depress","sport","nofriend","smoke","nociga","alcabuse","bmi"
"FEMALE",50,"EMPLOYED IN PUBLIC SECTOR",2500,"MARRIED",7,"NO",3,"NO",NA,"NO",24.3141239657425
"FEMALE",60,"RETIRED",1900,"MARRIED",1,"YES",10,"NO",NA,"NO",32.421875
"FEMALE",20,"PUPIL OR STUDENT",NA,"SINGLE",0,"NO",4,"NO",NA,"NO",20.9571711629325
"FEMALE",58,"RETIRED",1100,"WIDOWED",9,"YES",8,"NO",NA,"NO",22.4323025156225
"FEMALE",34,"EMPLOYED IN PRIVATE SECTOR",1480,"MARRIED",0,"NO",0,"YES",10,"NO",21.5138585105239
"FEMALE",49,"EMPLOYED IN PRIVATE SECTOR",1000,"MARRIED",5,"YES",8,"YES",8,"NO",23.051754907793
"FEMALE",34,"UNEMPLOYED",150,"DIVORCED",3,"NO",3,"YES",10,"YES",19.379197433927
"MALE",20,"PUPIL OR STUDENT",-8,"SINGLE",2,"NO",2,"NO",NA,"NO",25.3086419753086
"FEMALE",22,"PUPIL OR STUDENT",-8,"SINGLE",0,"NO",10,"NO",NA,"NO",20.6611570247934
"FEMALE",48,"OTHER ECONOMICALLY INACTIVE",520,"MARRIED",0,NA,1,"NO",NA,"NO",23.4375
"MALE",61,"LONG-TERM SICK/DISABLED",-8,"MARRIED",6,"YES",10,"NO",NA,"NO",28.734693877551
"MALE",60,"RETIRED",3500,"MARRIED",4,"YES",12,"NO",NA,"NO",31.4878892733564
"MALE",56,"LONG-TERM SICK/DISABLED",750,"SINGLE",9,"YES",3,"YES",20,"NO",22.1606648199446
"FEMALE",72,"RETIRED",800,"WIDOWED",15,"YES",5,"NO",NA,"NO",20.7612456747405
"FEMALE",28,"EMPLOYED IN PRIVATE SECTOR",2850,"SINGLE",0,"NO",12,"NO",NA,"NO",22.9421304537004
"MALE",42,"EMPLOYED IN PUBLIC SECTOR",5000,"MARRIED",2,"NO",15,"NO",NA,"NO",22.9440888781548
"FEMALE",37,"EMPLOYED IN PUBLIC SECTOR",1500,"MARRIED",0,"YES",6,"NO",NA,"NO",20.8209399167162
"MALE",61,"RETIRED",1030,"MARRIED",4,"YES",10,"NO",NA,"NO",33.6592970521542
"MALE",53,"EMPLOYED IN PRIVATE SECTOR",3000,"MARRIED",0,"NO",10,"NO",NA,"NO",27.4285714285714
"MALE",19,"PUPIL OR STUDENT",NA,"SINGLE",0,"NO",5,"NO",NA,"NO",23.9389897746315
"MALE",81,"RETIRED",1500,"WIDOWED",6,"YES",5,"NO",NA,"NO",36.5713346482577
"FEMALE",40,"EMPLOYED IN PUBLIC SECTOR",9000,"DIVORCED",1,"NO",5,"NO",NA,"NO",21.484375
"FEMALE",55,"LONG-TERM SICK/DISABLED",550,"MARRIED",11,"YES",5,"NO",NA,"NO",35.15625
"MALE",37,"SELF-EMPLOYED",NA,"SINGLE",0,"YES",10,"YES",20,"YES",NA
"FEMALE",41,"EMPLOYED IN PUBLIC SECTOR",1300,"MARRIED",4,"YES",3,"NO",NA,"NO",24.609375
"FEMALE",36,"OTHER ECONOMICALLY INACTIVE",NA,"MARRIED",0,"YES",3,"NO",NA,"NO",23.8894628099174
"MALE",66,"LONG-TERM SICK/DISABLED",900,"MARRIED",8,"YES",4,"NO",NA,"NO",27.0992510068125
"FEMALE",22,"PUPIL OR STUDENT",-8,"SINGLE",0,"YES",5,"NO",NA,"NO",20.5150864789799
"MALE",82,"RETIRED",1200,"WIDOWED",11,"YES",5,"YES",20,"NO",24.9770431588613
"MALE",25,"EMPLOYED IN PUBLIC SECTOR",1300,"SINGLE",1,"NO",2,"NO",NA,"YES",22.6166995397765
"MALE",54,"RETIRED",-8,"MARRIED",5,"NO",1,"NO",NA,"NO",33.9100346020761
"MALE",72,"RETIRED",1000,"MARRIED",3,"YES",10,"NO",NA,"NO",25.9515570934256
"FEMALE",19,"PUPIL OR STUDENT",NA,"SINGLE",1,"YES",5,"NO",NA,"NO",19.7231833910035
"FEMALE",30,"EMPLOYED IN PUBLIC SECTOR",1500,"MARRIED",2,"YES",5,"NO",NA,"NO",21.9713358572201
"MALE",54,"EMPLOYED IN PRIVATE SECTOR",2500,"MARRIED",2,"YES",10,"NO",NA,"NO",27.0416441319632
"FEMALE",30,"EMPLOYED IN PRIVATE SECTOR",1700,"MARRIED",1,"NO",5,"YES",12,"NO",26.8923231381548
"FEMALE",53,"EMPLOYED IN PUBLIC SECTOR",2500,"MARRIED",3,"NO",3,"YES",7,"NO",24.21875
"FEMALE",46,"EMPLOYED IN PUBLIC SECTOR",2600,"MARRIED",0,"NO",3,"NO",NA,"NO",25.9515570934256
"FEMALE",60,"RETIRED",1300,"WIDOWED",NA,"NO",5,"NO",NA,"NO",24.2122933884298
"FEMALE",19,"PUPIL OR STUDENT",NA,"SINGLE",0,"NO",12,"NO",NA,"NO",18.645344042454
"FEMALE",58,"RETIRED",2400,"SINGLE",10,"NO",40,"NO",NA,"NO",35.0292622495621
"MALE",30,"EMPLOYED IN PRIVATE SECTOR",1300,"SINGLE",0,"YES",5,"NO",NA,"NO",28.4005479635136
"MALE",58,"UNEMPLOYED",520,"MARRIED",7,"YES",10,"NO",NA,"NO",25.4028160836116
"FEMALE",58,"RETIRED",2000,"SINGLE",NA,"NO",5,"NO",NA,"NO",25.2825698988697
"FEMALE",28,"EMPLOYED IN PRIVATE SECTOR",-8,"SINGLE",0,"NO",5,"NO",NA,"NO",20.5761316872428
"MALE",48,"LONG-TERM SICK/DISABLED",316,"MARRIED",2,"NO",2,"YES",40,"YES",23.6614386154678
"MALE",17,"PUPIL OR STUDENT",NA,"SINGLE",0,"NO",3,"NO",NA,"YES",21.6216216216216
"FEMALE",50,"EMPLOYED IN PUBLIC SECTOR",1500,"MARRIED",3,"YES",15,"NO",NA,"NO",22.7189744005842
"FEMALE",50,"EMPLOYED IN PUBLIC SECTOR",1600,"WIDOWED",2,"NO",10,"NO",NA,"NO",26.2335558041742
"FEMALE",76,"RETIRED",900,"WIDOWED",10,"YES",10,"NO",NA,"NO",24.034609838167
"MALE",20,"PUPIL OR STUDENT",NA,"SINGLE",2,"NO",3,"NO",NA,"NO",25.1428571428571
"FEMALE",39,"EMPLOYED IN PUBLIC SECTOR",1350,"WIDOWED",8,"NO",5,"NO",NA,"NO",46.8192627824019
"FEMALE",74,"RETIRED",1000,"DIVORCED",7,"YES",7,"NO",NA,"NO",22.1453287197232
"FEMALE",17,"PUPIL OR STUDENT",420,"SINGLE",11,"NO",6,"NO",NA,"NO",21.2244897959184
"FEMALE",47,"FARMER",2500,NA,1,"YES",4,"YES",20,"NO",22.189349112426
"MALE",34,"EMPLOYED IN PRIVATE SECTOR",1000,"MARRIED",6,"NO",20,"NO",NA,"NO",32.1929049362454
"FEMALE",49,"EMPLOYED IN PUBLIC SECTOR",1800,"MARRIED",6,"YES",7,"NO",NA,"NO",23.5294117647059
"FEMALE",43,"EMPLOYED IN PUBLIC SECTOR",2000,"MARRIED",3,"YES",5,"NO",NA,"NO",23.4375
"MALE",71,"RETIRED",1080,"MARRIED",9,"YES",4,"NO",NA,"NO",25.2493372048984
"MALE",53,"SELF-EMPLOYED",2200,"MARRIED",1,"NO",4,"YES",20,"YES",24.2214532871972
"MALE",50,"OTHER ECONOMICALLY INACTIVE",2000,"DIVORCED",1,"NO",10,"NO",NA,"NO",22.2040816326531
"MALE",46,"EMPLOYED IN PRIVATE SECTOR",1500,"MARRIED",2,"YES",10,"NO",NA,"NO",28.0890109547143
"MALE",50,"FARMER",-8,"MARRIED",0,"YES",5,"YES",20,"NO",30.3503295178633
"FEMALE",29,"EMPLOYED IN PRIVATE SECTOR",1200,"MARRIED",0,"NO",4,"NO",NA,NA,19.53125
"FEMALE",23,"UNEMPLOYED",NA,"SINGLE",0,"NO",2,"NO",NA,"NO",17.5056150085877
"FEMALE",62,"RETIRED",1530,"MARRIED",3,"YES",12,"NO",NA,"NO",27.2392244832559
"FEMALE",59,"LONG-TERM SICK/DISABLED",1180,"MARRIED",8,"YES",10,"NO",NA,"NO",25.7959183673469
"MALE",72,"RETIRED",730,"MARRIED",2,"YES",0,"NO",NA,"YES",26.3656030286641
"MALE",42,"EMPLOYED IN PUBLIC SECTOR",3000,"MARRIED",1,"YES",12,"NO",NA,"NO",29.8605512257756
"FEMALE",54,"UNEMPLOYED",310,"MARRIED",8,"YES",3,"YES",20,"NO",23.4375
"MALE",29,"EMPLOYED IN PUBLIC SECTOR",2000,"MARRIED",7,"NO",2,"NO",NA,"NO",26.7299274950717
"MALE",56,"EMPLOYED IN PRIVATE SECTOR",1700,"DIVORCED",5,"YES",5,"YES",30,"NO",29.0547520661157
"FEMALE",34,"PUPIL OR STUDENT",4500,"MARRIED",0,"NO",2,"NO",NA,"NO",19.1467221644121
"FEMALE",21,"UNEMPLOYED",NA,"SINGLE",1,"NO",2,NA,-8,"YES",21.6333153055706
"FEMALE",26,"UNEMPLOYED",NA,"SINGLE",2,"NO",5,"NO",NA,"NO",16.9795918367347
"MALE",37,"EMPLOYED IN PUBLIC SECTOR",2200,"MARRIED",2,"NO",10,"NO",NA,"NO",27.1177685950413
"FEMALE",48,"OTHER ECONOMICALLY INACTIVE",500,"MARRIED",4,"YES",0,"YES",20,"NO",24.1671624033314
"MALE",52,"EMPLOYED IN PUBLIC SECTOR",1760,"MARRIED",8,"NO",2,"YES",20,"NO",21.952479338843
"FEMALE",38,"EMPLOYED IN PRIVATE SECTOR",2000,"MARRIED",4,"NO",10,"NO",NA,"NO",18.5901249256395
"FEMALE",89,"RETIRED",1060,"WIDOWED",9,"YES",1,"NO",NA,"NO",27.681660899654
"MALE",20,"EMPLOYED IN PRIVATE SECTOR",900,"SINGLE",0,"YES",3,"NO",NA,"NO",22.4600343506408
"MALE",38,"SELF-EMPLOYED",4000,"MARRIED",0,"YES",1,"NO",NA,"NO",27.5709242701435
"FEMALE",69,"RETIRED",600,"MARRIED",10,"YES",3,"NO",NA,"NO",29.1363163371488
"FEMALE",49,"EMPLOYED IN PUBLIC SECTOR",-8,"SINGLE",1,"NO",0,"YES",10,"NO",24.5089457652043
"MALE",47,"EMPLOYED IN PRIVATE SECTOR",-8,"SINGLE",1,"YES",30,"NO",NA,"NO",NA
"FEMALE",20,"PUPIL OR STUDENT",NA,"SINGLE",0,"NO",12,"NO",NA,"NO",18.645344042454
"FEMALE",45,"EMPLOYED IN PUBLIC SECTOR",2900,"MARRIED",3,"YES",5,"NO",NA,"NO",24.3865264441396
"MALE",52,"EMPLOYED IN PRIVATE SECTOR",3000,"MARRIED",3,"YES",5,"YES",15,"NO",32.9287190082645
"MALE",68,"RETIRED",1000,"MARRIED",5,"NO",8,"NO",NA,"YES",39.0925189615423
"MALE",58,"LONG-TERM SICK/DISABLED",745,"MARRIED",12,"YES",4,"YES",20,"NO",25.1038781163435
"FEMALE",24,"PUPIL OR STUDENT",1050,"SINGLE",0,"NO",12,"YES",5,"NO",22.9853975121687
"MALE",44,"EMPLOYED IN PUBLIC SECTOR",-8,"MARRIED",4,"NO",5,"YES",20,"NO",22.5308641975309
"MALE",55,"EMPLOYED IN PUBLIC SECTOR",-8,"MARRIED",2,"YES",2,"NO",NA,"NO",28.4055043555107
"FEMALE",62,"RETIRED",900,"WIDOWED",12,"YES",10,"YES",10,"NO",34.5776323616895
"FEMALE",79,"LONG-TERM SICK/DISABLED",850,"WIDOWED",15,"YES",3,"NO",NA,"NO",21.0771952275208
"FEMALE",68,"RETIRED",1200,"WIDOWED",NA,"YES",2,"NO",NA,"NO",36.5126374295103
"FEMALE",50,"EMPLOYED IN PRIVATE SECTOR",2500,"MARRIED",3,"YES",12,"NO",NA,"NO",23.0300453514739
"MALE",30,"EMPLOYED IN PRIVATE SECTOR",1500,"SINGLE",0,"NO",6,"NO",NA,"NO",25.4511138436901
"FEMALE",30,"EMPLOYED IN PRIVATE SECTOR",1000,"SINGLE",6,"NO",3,"NO",NA,"NO",21.7993079584775
"MALE",62,"RETIRED",850,"MARRIED",3,"YES",15,"YES",30,"NO",21.1463199091024
"MALE",17,"PUPIL OR STUDENT",NA,"SINGLE",1,"NO",15,"NO",NA,"NO",23.8087970452672
"FEMALE",49,"UNEMPLOYED",1000,"MARRIED",9,"YES",10,"YES",10,"NO",24.5351239669421
"MALE",51,"EMPLOYED IN PUBLIC SECTOR",-8,"MARRIED",2,"NO",20,"NO",NA,"NO",26.4489795918367
"FEMALE",38,"EMPLOYED IN PRIVATE SECTOR",1500,"MARRIED",6,"NO",5,"NO",NA,"NO",18.359375
"MALE",50,"FARMER",1500,"MARRIED",0,"YES",5,"NO",NA,"NO",29.320987654321
"FEMALE",20,"PUPIL OR STUDENT",NA,"SINGLE",1,"YES",10,"NO",NA,"NO",18.9291508923743
"FEMALE",58,"RETIRED",1200,"MARRIED",3,"YES",20,"YES",15,"NO",26.5643447461629
"FEMALE",29,"LONG-TERM SICK/DISABLED",800,"DIVORCED",7,"YES",5,"YES",15,"NO",21.0480476121353
"MALE",25,"EMPLOYED IN PRIVATE SECTOR",1300,"SINGLE",3,"NO",6,"NO",NA,"NO",25.6055363321799
"FEMALE",34,"OTHER ECONOMICALLY INACTIVE",2000,"MARRIED",9,"YES",0,"NO",NA,"NO",31.25
"FEMALE",69,"LONG-TERM SICK/DISABLED",1300,"WIDOWED",11,"YES",2,"NO",NA,"NO",27.639801313892
"FEMALE",21,"UNEMPLOYED",-8,"SINGLE",4,"YES",2,"NO",NA,"NO",25.0593070266297
"MALE",39,"EMPLOYED IN PRIVATE SECTOR",1197,"MARRIED",0,"YES",3,"NO",NA,"NO",27.1430374952657
"MALE",25,"EMPLOYED IN PRIVATE SECTOR",1300,"SINGLE",1,"YES",50,"NO",NA,"NO",22.4480151228733
"FEMALE",21,"PUPIL OR STUDENT",NA,"SINGLE",0,"NO",2,"NO",NA,"NO",18.5911303407247
"MALE",17,"EMPLOYED IN PRIVATE SECTOR",2000,"SINGLE",1,"NO",40,"YES",20,"NO",26.2649438473614
"MALE",58,"SELF-EMPLOYED",2900,"MARRIED",6,"YES",3,"NO",NA,"NO",30.1038062283737
"FEMALE",63,"RETIRED",2500,"MARRIED",2,"YES",1,"YES",20,"NO",19.3337299226651
"MALE",29,"EMPLOYED IN PUBLIC SECTOR",2500,"SINGLE",5,"YES",15,"NO",NA,"NO",22.6421929718633
"MALE",40,"UNEMPLOYED",NA,"MARRIED",3,"YES",25,"YES",20,"NO",21.4532871972318
"FEMALE",38,"EMPLOYED IN PRIVATE SECTOR",1900,"MARRIED",0,"YES",3,"YES",4,"NO",20.619253650622
"FEMALE",33,"OTHER ECONOMICALLY INACTIVE",NA,"MARRIED",3,"NO",4,"NO",NA,"NO",20.8116545265349
"MALE",74,"RETIRED",-8,"SINGLE",15,"YES",3,"NO",NA,"NO",23.4375
"MALE",49,"EMPLOYED IN PUBLIC SECTOR",-8,"MARRIED",2,"NO",15,"YES",12,"NO",28.0898876404494
"FEMALE",48,"EMPLOYED IN PUBLIC SECTOR",1600,"MARRIED",5,"NO",6,"NO",NA,"NO",27.8851873884593
"FEMALE",21,"PUPIL OR STUDENT",-8,"SINGLE",0,"YES",10,"NO",NA,"NO",19.3337299226651
"MALE",58,"FARMER",3800,"MARRIED",6,"YES",2,"YES",10,"NO",25.8264462809917
"MALE",24,"UNEMPLOYED",1300,"SINGLE",1,"NO",0,"YES",10,"NO",22.5981404958678
"MALE",42,"OTHER ECONOMICALLY INACTIVE",NA,"MARRIED",8,"YES",10,"NO",NA,"NO",29.320987654321
"FEMALE",55,"EMPLOYED IN PUBLIC SECTOR",1500,"DIVORCED",4,"YES",4,"YES",20,"NO",27.8851873884593
"MALE",80,"RETIRED",600,"MARRIED",14,"YES",2,"NO",NA,"NO",26.1492768595041
"FEMALE",32,"SELF-EMPLOYED",2000,"MARRIED",1,"NO",5,"YES",25,"NO",23.051754907793
"FEMALE",65,"LONG-TERM SICK/DISABLED",3000,"MARRIED",2,"YES",10,"NO",NA,"NO",28.4055043555107
"MALE",16,"PUPIL OR STUDENT",NA,"SINGLE",1,"NO",15,"NO",NA,"NO",31.0137051039698
"MALE",74,"RETIRED",1800,"MARRIED",5,"NO",8,"NO",NA,"NO",31.1418685121107
"FEMALE",60,"RETIRED",700,"MARRIED",9,"YES",5,"NO",NA,"NO",22.189349112426
"MALE",37,"EMPLOYED IN PRIVATE SECTOR",4000,"MARRIED",3,"YES",6,"NO",NA,"NO",26.2345679012346
"MALE",64,"OTHER ECONOMICALLY INACTIVE",NA,"MARRIED",9,"YES",5,"NO",NA,"NO",24.6559096158047
"MALE",22,"UNEMPLOYED",NA,"MARRIED",1,"YES",5,"NO",NA,"NO",26.2965668371074
"FEMALE",31,"EMPLOYED IN PUBLIC SECTOR",3000,"MARRIED",4,"NO",3,"NO",NA,"NO",22.038567493113
"MALE",71,"RETIRED",1000,"MARRIED",14,"YES",7,"NO",NA,"NO",26.8135904499541
"MALE",29,"OTHER ECONOMICALLY INACTIVE",NA,"MARRIED",0,"YES",6,"NO",NA,"NO",23.6712536295922
"MALE",48,"EMPLOYED IN PUBLIC SECTOR",1500,"WIDOWED",1,"YES",10,"YES",20,"YES",25.7731958762887
"FEMALE",19,"PUPIL OR STUDENT",NA,"SINGLE",2,"NO",10,"NO",NA,"NO",23.051754907793
"FEMALE",19,"PUPIL OR STUDENT",NA,"SINGLE",1,"YES",5,"NO",NA,"NO",19.7231833910035
"MALE",56,"EMPLOYED IN PUBLIC SECTOR",3000,"MARRIED",5,"NO",5,"NO",NA,"NO",30.7598702001082
"FEMALE",29,"EMPLOYED IN PUBLIC SECTOR",1600,"MARRIED",4,"YES",5,"NO",NA,"NO",18.5901249256395
"FEMALE",17,"PUPIL OR STUDENT",NA,"SINGLE",1,"YES",8,"NO",NA,"NO",22.038567493113
"FEMALE",31,"FARMER",300,NA,3,"YES",4,"NO",NA,"NO",24.5089457652043
"MALE",47,"EMPLOYED IN PRIVATE SECTOR",2000,"SINGLE",4,"YES",3,"YES",15,"YES",34.4752503991871
"MALE",29,"LONG-TERM SICK/DISABLED",1600,"SINGLE",3,"NO",8,"YES",15,"NO",21.2665406427221
"MALE",55,"EMPLOYED IN PRIVATE SECTOR",-8,"MARRIED",2,"YES",4,"NO",NA,"NO",29.3962214295151
"MALE",41,"EMPLOYED IN PUBLIC SECTOR",1890,"MARRIED",2,"YES",2,"NO",NA,"NO",23.6614386154678
"MALE",27,"FARMER",3500,"MARRIED",0,"YES",2,"NO",NA,"NO",26.3656030286641
"MALE",46,"EMPLOYED IN PRIVATE SECTOR",1500,"MARRIED",9,"YES",5,"NO",NA,"NO",29.320987654321
"MALE",35,"EMPLOYED IN PUBLIC SECTOR",1500,"MARRIED",4,"NO",5,"NO",NA,"NO",29.0547520661157
"MALE",55,"EMPLOYED IN PUBLIC SECTOR",1720,"MARRIED",2,"YES",7,"NO",NA,"NO",25.8264462809917
"MALE",30,"FARMER",1000,"MARRIED",3,"YES",10,"NO",NA,"NO",23.7021620996647
"MALE",18,"PUPIL OR STUDENT",NA,"SINGLE",3,"NO",10,"NO",NA,"NO",20.7756232686981
"MALE",18,"PUPIL OR STUDENT",NA,"SINGLE",0,"YES",3,"NO",NA,"NO",25.1428571428571
"FEMALE",27,"EMPLOYED IN PRIVATE SECTOR",2000,"MARRIED",0,"YES",4,"NO",NA,"NO",20.0692041522491
"FEMALE",21,"PUPIL OR STUDENT",NA,"SINGLE",5,"NO",2,"NO",NA,"NO",22.189349112426
"MALE",24,"PUPIL OR STUDENT",1800,"SINGLE",1,"NO",6,"NO",NA,"NO",24.4192790207869
"FEMALE",55,"EMPLOYED IN PRIVATE SECTOR",2000,"WIDOWED",8,"YES",50,"YES",25,"NO",19.53125
"FEMALE",19,"PUPIL OR STUDENT",NA,"SINGLE",0,"NO",3,"NO",NA,"NO",22.0580511886839
"FEMALE",27,"EMPLOYED IN PRIVATE SECTOR",4500,"SINGLE",3,"NO",3,"NO",NA,"NO",23.6127508854782
"FEMALE",77,"LONG-TERM SICK/DISABLED",800,"WIDOWED",15,"YES",10,"NO",NA,"NO",21.9671201814059
"FEMALE",56,"EMPLOYED IN PUBLIC SECTOR",2800,"MARRIED",9,"YES",0,"YES",20,"NO",20.8209399167162
"MALE",29,"EMPLOYED IN PRIVATE SECTOR",2500,"MARRIED",1,"NO",10,"NO",NA,"YES",27.681660899654
"FEMALE",62,"RETIRED",1200,"MARRIED",6,"NO",2,"NO",NA,"NO",31.25
"FEMALE",25,"PUPIL OR STUDENT",NA,"SINGLE",0,"YES",10,"NO",NA,"NO",17.5770686857761
"MALE",19,"PUPIL OR STUDENT",NA,"SINGLE",0,"YES",3,"NO",NA,"NO",22.6421929718633
"FEMALE",64,"RETIRED",900,"MARRIED",5,"YES",4,"NO",NA,"NO",26.0374939913475
"FEMALE",38,"OTHER ECONOMICALLY INACTIVE",-8,"MARRIED",0,"YES",10,"NO",NA,"NO",22.65625
"FEMALE",36,"FARMER",803,"MARRIED",0,"YES",10,"NO",NA,"NO",22.4913494809689
"MALE",52,"OTHER ECONOMICALLY INACTIVE",700,"MARRIED",12,"NO",5,"NO",NA,"NO",23.2438016528926
"FEMALE",47,"EMPLOYED IN PUBLIC SECTOR",1800,"DIVORCED",6,"NO",4,"NO",NA,"NO",23.5078053259871
"FEMALE",22,"UNEMPLOYED",NA,"SINGLE",15,"YES",3,"YES",10,"NO",26.171875
"FEMALE",77,"RETIRED",1998,"MARRIED",11,"NO",10,"NO",NA,"NO",28.2283864654296
"MALE",59,"LONG-TERM SICK/DISABLED",1800,"MARRIED",6,"NO",7,"YES",20,"NO",27.681660899654
"FEMALE",61,"RETIRED",900,"WIDOWED",9,"YES",2,"NO",NA,"YES",27.2392244832559
"MALE",17,"PUPIL OR STUDENT",NA,"SINGLE",0,"NO",8,"NO",NA,"NO",22.2290619335864
"MALE",20,"PUPIL OR STUDENT",NA,"SINGLE",7,"YES",0,"YES",10,"NO",22.4480151228733
"FEMALE",48,"OTHER ECONOMICALLY INACTIVE",520,"MARRIED",1,"YES",0,"NO",NA,"NO",21.8299521999323
"MALE",52,"UNEMPLOYED",-8,"DIVORCED",6,"YES",5,"YES",25,"NO",23.3886865581877
"FEMALE",52,"EMPLOYED IN PRIVATE SECTOR",3600,"MARRIED",5,"YES",7,"YES",10,"NO",22.0317256849864
"FEMALE",48,"OTHER ECONOMICALLY INACTIVE",NA,"MARRIED",2,"YES",2,"NO",NA,"NO",37.0216113656347
"MALE",52,"RETIRED",-8,"MARRIED",2,"NO",10,"NO",NA,"NO",25.2493372048984
"MALE",33,"EMPLOYED IN PRIVATE SECTOR",6000,"MARRIED",0,"NO",2,"NO",NA,"NO",25.6055363321799
"FEMALE",74,"RETIRED",1050,"MARRIED",0,"YES",0,"NO",NA,"NO",25.2595155709343
"FEMALE",20,"PUPIL OR STUDENT",NA,"SINGLE",0,"NO",5,"NO",NA,"NO",19.4330132601738
"FEMALE",52,"EMPLOYED IN PRIVATE SECTOR",1700,"MARRIED",3,"YES",2,"NO",NA,"NO",37.180249851279
"MALE",19,"PUPIL OR STUDENT",-8,"SINGLE",1,"NO",4,"NO",NA,"NO",23.8754325259516
"MALE",34,"EMPLOYED IN PUBLIC SECTOR",2000,"SINGLE",1,"YES",4,"NO",NA,"NO",24.3322770484382
"FEMALE",38,"EMPLOYED IN PRIVATE SECTOR",2000,"DIVORCED",1,"NO",6,"NO",NA,"NO",27.9903628117914
"FEMALE",30,"OTHER ECONOMICALLY INACTIVE",NA,"MARRIED",0,"NO",6,"NO",NA,"NO",21.2585034013605
"MALE",28,"EMPLOYED IN PUBLIC SECTOR",-8,"MARRIED",0,"YES",1,"NO",NA,"NO",24.7720967102656
"FEMALE",18,"PUPIL OR STUDENT",-8,"SINGLE",0,"YES",10,"NO",NA,"NO",20.7612456747405
"MALE",17,"PUPIL OR STUDENT",NA,"SINGLE",11,"NO",8,"NO",NA,"NO",23.5155790711346
"FEMALE",49,"LONG-TERM SICK/DISABLED",710,"MARRIED",3,"YES",2,"NO",NA,"NO",32.2830578512397
"FEMALE",78,"LONG-TERM SICK/DISABLED",830,"WIDOWED",13,"YES",10,"NO",NA,"NO",21.0771952275208
"FEMALE",36,"UNEMPLOYED",NA,"MARRIED",5,"YES",6,"NO",NA,"NO",18.724173553719
"MALE",57,"EMPLOYED IN PUBLIC SECTOR",1500,"MARRIED",3,"YES",10,"YES",20,"NO",27.4691358024691
"MALE",82,"EMPLOYED IN PUBLIC SECTOR",1600,"WIDOWED",7,"YES",30,"NO",NA,"NO",30.4878048780488
"FEMALE",52,"UNEMPLOYED",NA,"SINGLE",4,"YES",5,"YES",3,"NO",26.5337588296461
"MALE",22,"UNEMPLOYED",NA,"SINGLE",2,"NO",6,"NO",NA,"NO",25.3592561284869
"FEMALE",36,"EMPLOYED IN PRIVATE SECTOR",1000,"MARRIED",3,"YES",0,"NO",NA,"NO",26.7538644470868
"FEMALE",31,"OTHER ECONOMICALLY INACTIVE",NA,"MARRIED",0,"YES",5,"YES",7,"NO",26.1224489795918
"FEMALE",25,"PUPIL OR STUDENT",NA,"SINGLE",0,"NO",2,"NO",NA,"NO",17.6470588235294
"MALE",24,"UNEMPLOYED",1300,"SINGLE",3,"NO",10,"NO",NA,"NO",25.1807851239669
"MALE",57,"EMPLOYED IN PUBLIC SECTOR",5000,"MARRIED",1,"NO",3,"NO",NA,"NO",26.3656030286641
"MALE",69,"RETIRED",1300,"MARRIED",14,"NO",30,"NO",NA,"NO",28.4055043555107
"FEMALE",49,"EMPLOYED IN PRIVATE SECTOR",7000,"MARRIED",3,"YES",6,"YES",20,"NO",28.5779606767261
"MALE",50,"EMPLOYED IN PRIVATE SECTOR",1800,"MARRIED",0,"YES",6,"NO",NA,"NO",29.0123456790123
"MALE",69,"RETIRED",1200,"MARRIED",7,"NO",10,"YES",20,"NO",20.6758034026465
"FEMALE",50,"EMPLOYED IN PUBLIC SECTOR",-8,"MARRIED",6,"NO",5,"NO",NA,"NO",27.8851873884593
"FEMALE",23,"PUPIL OR STUDENT",1000,"SINGLE",0,"YES",4,"NO",NA,"NO",21.3577955953923
"FEMALE",26,NA,1000,"SINGLE",0,"YES",2,"NO",NA,"NO",19.0519737844841
"MALE",48,"EMPLOYED IN PUBLIC SECTOR",1500,"MARRIED",0,"NO",12,"NO",NA,"NO",24.7554643159039
"MALE",21,"EMPLOYED IN PRIVATE SECTOR",1000,"SINGLE",0,"YES",4,"YES",20,"NO",24.1632653061224
"FEMALE",32,"EMPLOYED IN PRIVATE SECTOR",1300,"MARRIED",10,"YES",4,"NO",NA,"NO",33.0578512396694
"MALE",41,"OTHER ECONOMICALLY INACTIVE",1500,"MARRIED",11,"YES",2,"NO",NA,"NO",29.6296296296296
"FEMALE",26,"EMPLOYED IN PUBLIC SECTOR",1350,"SINGLE",0,"YES",2,"NO",NA,"NO",23.0300453514739
"FEMALE",64,"RETIRED",856,"WIDOWED",7,"YES",6,"NO",NA,"NO",31.25
"FEMALE",61,"EMPLOYED IN PUBLIC SECTOR",7000,"DIVORCED",1,"NO",10,"NO",NA,"NO",23.051754907793
"FEMALE",20,"PUPIL OR STUDENT",NA,"SINGLE",0,"YES",2,"NO",NA,"NO",21.952479338843
"FEMALE",50,"LONG-TERM SICK/DISABLED",600,"MARRIED",7,"YES",0,"YES",3,"NO",22.0317256849864
"FEMALE",33,"EMPLOYED IN PRIVATE SECTOR",1500,"MARRIED",0,"YES",3,"NO",NA,"NO",25.390625
"MALE",17,"PUPIL OR STUDENT",-8,"SINGLE",0,"NO",2,"NO",NA,"NO",21.6333153055706
"MALE",82,"RETIRED",3500,"MARRIED",4,"YES",1,"YES",30,"NO",34.6020761245675
